,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37
ArticleName,"The Gluten-Free, Casein-Free Diet In Autism: Results of A Preliminary Double Blind Clinical Trial",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Authors,Sylvia Burns,Lindsay Sherrill,Jennifer Harrison Elder,Douglas Theriaque,Meena Shankar,Jonathan Shuster,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Year,2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JournalName,Journal of Autism and Developmental Disorders,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Diagnosis,ASD,autism,"autism
spectrum disorders",immune reactions,infections,autistic disorder,schizophrenia,Autism,BEHAVIORAL DISORDERS,disorder,hyperactive,"schizo-
phrenia",autism spectrum disorder,delays,autistic,learning disabled,autistic symptoms,"autistic
syndrome",Developmental Disorders,inﬂammatory,Nursing,,,,,,,,,,,,,,,,,
Date,"3, April 2006","March 23, 2006",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TreatmentName,GFCF,gluten-free and casein-free,Gluten-Free Gourmet,diets,preservatives,Gluten-Free,Dietary Intervention,"gluten-
free, casein-free diet",diet,synthesis of the Milk Free Kitchen,gluten–casein free diet,dietary treatment,free diet,"Gluten-Free, Casein-Free Diet","gluten-free casein-free
(GFCF) diet",restricted diets,DIETARY TREATMENT,sugars,regular diet,treatment,restrict additives,vaccines,Dietary treatment,casein,restricted diet,structured diet,GFCF diet,dietary restrictions,Casein-Free,strict dietary control,,,,,,,,
AdministrativeEvent,"double blind
controlled clinical trials",study,"randomized single blind
study",Double Blind Clinical Trial,studies,clinical trials,controlled clinical trial,"randomized double blind clinical
trial",Dietary Clinical Trials,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SymptomOrSign,symptoms,"motor
problems",sound,improvement,cut,dietary eﬀects,behavior,"impairments in
functional communication abilities","aggressive behav-
ior","behavioral pat-
terns",uals,"abnormal
intestinal
permeability",overload,learning,social relatedness,"limited
reciprocal social interactions",urinary peptide abnormalities,acquired language,autistic symptoms,Burns,amino acid deﬁciencies,non-verbal cognitive level,,,,,,,,,,,,,,,,
Age,4.1 years,2–16 years,child,7.32 years,children,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ExaminationName,Blood samples,cognitive level,"IgA
against",behavioral measures,IV criteria,amino acid patterns,ethyl mercury,gliadin,ADI-,Childhood Autism Rating Scale,"behav-
ioral",direct behavioral observation,"peptide
levels",laboratory testing,variability,"behav-
ioral observation",DSM,antibodies,SK,antibodies against casein,Ecological Communication Orientation Scale,ratings,"IgG antibodies to
gliadin","transindolylacryloyl-
glycine (IgA) antibodies",streptokinase,antibodies IgG,IgM,CARS,casein,Autism Diagnostic Interview Revised,physiological,urinary peptide levels,Analysis of blood samples,IgA,scores,IgG,ECOS,DSM III criteria
Time,1999,early 1980s,2000,1988,2002,1990,1 month,12 weeks,1920s,1970s,1 year,3 months,2003,,,,,,,,,,,,,,,,,,,,,,,,,
FamilyRelation,family,parental,CHILD,parent,parents,child,children,Parent,families,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ConditionQualifier,life-long,unusual,complex,dangerous,severe,challenging,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Course,cure,repeated,improved,improvement,cured,increasing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CareEnvironment,Clinical,"Department of
Psychiatry",General Clinical Research Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BodyStructure,brain,Brain,intestine,cognition,immune system,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MedicationName,casein,salicylate,gluten,"arti-
ﬁcial",sugar,b-CM7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MeasurementValue,high titer,50,High,413,414,415,87,10,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RelationalOperator,least,less than,above,within,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MeasurementUnit,%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HealthcareProfession,teachers,clinicians,physician,Child Psychiatry,physicians,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MutationType,"genetic
defects",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GeneOrProtein,CD69,C-Fos,CD26,lymphocyte,peptides,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MedicationClass,essential amino acids,opioid antagonist,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Frequency,every 3 months,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Allergen,casein,ethyl mercury,gliadin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
