,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35
ArticleName,Gluten- and casein-free diet and autism spectrum disorders in children: a systematic review,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Authors,Andrea Horvath,Jan Łukasik,Hania Szajewska,Ewa Pisula,Anna Piwowarczyk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Year,2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JournalName,European Journal of Nutrition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TreatmentName,"gluten-free and 
casein-free",GFCF  diet,behavioral,intervention,gluten free diet,GFCF diet,GFCF,regular diet,Effective,"regu-
lar diet",educational,casein‑free diet,"glu-
ten-free and casein-free",gluten-dairy-containing diet,casein-free  diet,dairy free diet,alternative  medicines,diet,alternative  methods  of  treat,Dietary Allow,"gluten-
free",gluten-free  diet,"regular, healthy diet",rice,gluten-dairy-free  diet,treatment,Gluten‑,treatments,"gluten-free casein-free 
diet",combined GFCF diet,placebo,non-fat dried milk,complementary,"pharmacological  interven-
tions","elimi-
nation diet","dura-
tion"
Diagnosis,autism spectrum disorder,"autism 
spectrum  disorders",autistic,als,autism spectrum disorders,meas,PDD,Asperger  syndrome,randomized  controlled  trials,"pervasive 
developmental disorder","autism spectrum 
disorder","neurode-
velopmental disorders",metabolic defect,autism,Autism,RCTs,"Autism spectrum 
disorders","autism 
spectrum disorders",ASD,,,,,,,,,,,,,,,,,
Age,children,2–16  years,Children,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date,4 June 2017,13 June 2017,17 January 2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SymptomOrSign,"leaky 
gut",core symptoms,interests,adverse events,activities,gut barrier,symptoms,autistic symptoms,emotional  problems,restricted,"defi -
cits",increased intestinal permeability,"symp-
toms",abnormal  function,repetitive  patterns  of  behavior,mental,ASD-related features,,,,,,,,,,,,,,,,,,,
Time,April  2007,August 2016,5/7,7 days,August  2016,3 months,24 months,2-week,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ExaminationName,CBCL,DSM-IV—Text  Revision,scales,"com-
munication",contact,"behav-
ior",autistic traits,communication,"Diagnostic and Sta-
tistical Manual of Mental Disorders-IV",DSM-IV-TR,DSM-IV,ADOS,"Cochrane 
Collaboration’s tool for assessing risk of bias",ADI-R,Child Behavior Checklist,"social inter-
action’",adaptive  behavior,Diagnostic Observation Schedule,ICD-10,"cogni-
tive  functioning","Autism Diag-
nostic  Interview-Revised",DSM-IV-TR criteria,"Manual 
of  the  International  Statistical  Classification  of  Diseases 
and  Related  Health  Problems",Gilliam  Autism  Rating  Scale,ures,parent-based assessment tools,,,,,,,,,,
Course,significant  improvements,reduced,persistent,washout,change,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AdministrativeEvent,RCT,RCTs,randomized  controlled  trials,Randomized controlled trial,trials,studies,trial,"controlled 
trials",study,randomized controlled trials,,,,,,,,,,,,,,,,,,,,,,,,,,
CareEnvironment,Department of Rehabilitation Psychology,Department of Paediatrics,Clinical Decisions Unit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FamilyRelation,parents,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MedicationName,omega-3 fatty acids,melatonin,flour,gluten,"omega-3  fatty 
acid  supplementation",casein,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MeasurementValue,435,3,1,434,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MedicationClass,probiotics,vitamins,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GeneOrProtein,"pro-
teins",gluten,opioid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BodyStructure,blood–,bloodstream,"central 
nervous system",central nervous system,brain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Allergen,casein,gluten,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HealthcareProfession,nutritionists,child neurology,child  psychiatry,dieticians,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Frequency,daily,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dosage,0.5  g/kg,11 g,0.5 g/kg,12 g,1  g/kg/day,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RelationalOperator,or less,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
