,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
ArticleName,Vitamin D Supplementation is Beneficial for Children with Autism Spectrum Disorder: A Meta-analysis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Authors,Zhi Chen,Xiaomei Luo,Liyao Song,Ai Chen,Dan Wang,Qing Jiang,Lifang Zhou,,,,,,,,,,,,,,,,,,,,,,,,
Year,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JournalName,Clinical Psychopharmacology and Neuroscience,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Time,"30,36",September,late 1990s,ago,;18,,,,,,,,,,,,,,,,,,,,,,,,,,
MedicationName,vitamin  D,"vita-
min  D",min,Vitamin D Supplementation,Vitamin D,D,vitamin,"1,25-dihydroxy vitamin D3",vitamin D,Vitamin  D,,,,,,,,,,,,,,,,,,,,,
Age,childhood,fetal,Children,children,18 years,,,,,,,,,,,,,,,,,,,,,,,,,,
Diagnosis,brain  disease,Autism  spectrum  disorder,"language devel-
opment retardation",epilepsy,Autism Spectrum Disorder,Pervasive Developmental Disorder,Alzheimer’s  disease,ASD,autism,af,nc,viral infection,"autism 
spectrum  disorder",disease,"par-
ticipants","developmental 
disorders","neurodevelop-
mental disorder",autism  spectrum  disorder,schizophrenia,"Asperger’s syn-
drome",depression,ASDs,"Autism 
Spectrum Disorder",Parkinson’s disease,,,,,,,
CareEnvironment,Department of Paediatrics,Pediatrics,Pediatric,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gender,males,females,trans,Women,,,,,,,,,,,,,,,,,,,,,,,,,,,
FamilyRelation,dizygotic twins,child,Children,"mono-
zygotic  twins",,,,,,,,,,,,,,,,,,,,,,,,,,,
AdministrativeEvent,observational study,case-control study,meta-analysis,open-label,RCT,multicenter meta-analysis,randomized controlled  trials,randomized controlled trials,review study,twin studies,studies,,,,,,,,,,,,,,,,,,,,
SymptomOrSign,symptoms,social,behavioral stereotypes,behavioral deficits,communicative,indifference,symptom,mental,communication rejection,,,,,,,,,,,,,,,,,,,,,,
Course,repeated,improvement,increased gradually,improves,,,,,,,,,,,,,,,,,,,,,,,,,,,
ExaminationName,ICD-9,SRS,25(OH)  D  levels,standardized mean difference,"fi-
nal  analysis",meta-analysis,Social  Responsiveness  Scale,"serum vita-
min D levels",vitamin D levels,Child Autism  Rating Scale,DSM-5,ICD-10,"con-
cordance  rate","scle-
rosis","Diagnostic Statistical 
Manual  of  Mental  Disorders",vitamin D3 levels,"Child  Autism  Rating 
Scale",D levels,Child Autism Rating Scale,incidence,DSM-4,serum vitamin D levels,model,SMD,"serum 
25-hydroxyvitamin  D  levels",CARS,"International Classification of 
Diseases",concordance rate,test,serum 25-hydroxyvitamin  D  levels,prevalence
MeasurementValue,90−250,reduced,50,0.1,dramatically  elevated,95,low,60,31,203,Low,30,88,,,,,,,,,,,,,,,,,,
ConditionQualifier,unspecified,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RelationalOperator,more  than,＜,＞,≤,less than,,,,,,,,,,,,,,,,,,,,,,,,,,
MeasurementUnit,ng/ml,%,"per 10,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date,"August 28, 2019","October 3, 2019","December 2, 2019",,,,,,,,,,,,,,,,,,,,,,,,,,,,
TreatmentName,prevention,intervention,treatment,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GeneOrProtein,"es-
trogen",genes,"inducible  nitric  oxide 
synthase",estrogen receptor,"estrogen receptor 
coactivators",DNA,neurotrophic factors,neurotransmitters,serotonin,,,,,,,,,,,,,,,,,,,,,,
BodyStructure,placenta,neuronal cell,middle frontal gyrus,brain,nerves,nervous  system,uterus,im,,,,,,,,,,,,,,,,,,,,,,,
MedicationClass,steroid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Expression,expression,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MutationType,"abnor-
mal",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
